iter	Passed	Remaining
553	101890	82027
554	102074	81843
555	102342	81726
556	102509	81528
557	102682	81336
558	102872	81157
559	103048	80967
560	103222	80774
561	103392	80580
562	103567	80389
563	103718	80179
564	103898	79992
565	104076	79804
566	104252	79614
567	104414	79413
568	104670	79284
